tech,workgroup,product_family,contract,title,script_name,sr_severity,sr_id,feature,theater,tech_dnac,subtech,company,_id,time,report_date
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA deployment - DNAC issues - Need assistance,sda_new_case_1,,683946701,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5a7e0b7a843590001f11f16c,2018-02-09T20:58:34.609Z,
DNA___Software_Defined_Access,NULL,C9300,201252187,SDA Fabric - Edge Node naming issue in ISE,sda_new_case_1,3,684229020,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,PIEDMONT_HEALTHCARE,5abce7c36e56950019a1f255,2018-03-29T13:18:59.143Z,2018-03-29
DNA___Software_Defined_Access,NULL,SDNMGMT,95971041,SDA Fabric Migration Plan - Validation,sda_new_case_1,3,684348331,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,IRVING_OIL_LIMITED,5ad8d6ad7ca7b20020674d5d,2018-04-19T17:49:33.264Z,2018-04-19
DNA___Software_Defined_Access,NULL,NULL,NULL,DHCP reachability over SDA Fabric not working,sda_new_case_1,3,684423445,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5aeb22a361f508001e509bac,2018-05-03T14:54:27.591Z,2018-05-03
DNA___Software_Defined_Access,NULL,NULL,NULL,DNACenter SDA LAN Automation stuck in progress,sda_new_case_1,3,684949957,SDA,EMEA,DNA_Software_Defined_Access,Appliance_sd_access,CISCO_SYSTEMS_INC_FOR_US_INTERNAL_DEMO_EVAL_ONLY,5b62a40aa881b00013c7b3b3,2018-08-02T06:26:18.461Z,2018-08-02
DNA___Software_Defined_Access,NULL,C3850,201807779,SDA labkit multiple issues,sda_new_case_1,3,685922924,SDA,EMEA,,Appliance_sd_access,ATEA_FINLAND_OY,5c3454cb81af640021d608cc,2019-01-08T07:44:11.828Z,2019-01-08
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA; Discovery fails with SNMP V3,sda_new_case_1,3,685571103,SDA,APAC,,Appliance_sd_access,DIMENSION_DATA_CANADA__INC.,5be11135220e08001a53a738,2018-11-06T03:57:41.772Z,2018-11-06
DNA___Software_Defined_Access,NULL,NULL,NULL,BayCare SDA-LDP,sda_new_case_1,3,685053447,SDA,AMER,,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5b7709309be440001c7346ab,2018-08-17T17:43:12.161Z,2018-08-17
DNA___Software_Defined_Access,NULL,DNAHW,201356861,Cisco SDA power-off & power-on procedure,sda_new_case_1,3,685995751,SDA,AMER,,Appliance_sd_access,DARPA,5c41facca5c6ca0029cef2c0,2019-01-18T16:11:56.961Z,2019-01-18
DNA___Software_Defined_Access,NULL,NULL,NULL,"SDA problems with phones after migratiion to SDA, problem with DHCP, request den",sda_new_case_1,3,684620338,SDA,AMER,Others,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5b1a84c63b9d6f001c2623da,2018-06-08T13:29:42.450Z,2018-06-08
DNA___Software_Defined_Access,NULL,SDNMGMT,201346732,[KB Security - SDA] Fusion Router crush info,sda_new_case_1,1,685143978,SDA,APAC,,Appliance_sd_access,KB_SECURITIES,5b89e2a18a64510017623aa4,2018-09-01T00:51:45.311Z,2018-09-01
DNA___Software_Defined_Access,NULL,SDNMGMT,201241601,Pen Air SDA Extended Access Node,sda_new_case_1,2,685223926,SDA,AMER,,Appliance_sd_access,PEN_AIR_FEDERAL_CREDIT_UNION,5b9a9257b8224c001469e0cc,2018-09-13T16:37:43.917Z,2018-09-13
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA Fabric not passing DHCP,sda_new_case_1,3,684487727,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5afb3849036ac30019ac704b,2018-05-15T19:43:05.214Z,2018-05-15
DNA___Software_Defined_Access,NULL,NULL,NULL,SDA: LISP not being updated,sda_new_case_1,3,684490421,SDA,EMEA,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5afbdabfa668db0017c8d19a,2018-05-16T07:16:15.829Z,2018-05-16
DNA___Software_Defined_Access,NULL,C9500,200627590,DNAC SDA - BGP to shared service (DHCP) issue,sda_new_case_1,3,684602951,SDA,APAC,,Appliance_sd_access,Shanghai_General_Motors_Company_Limited,5b17607188fe2d00145d2ffc,2018-06-06T04:17:53.858Z,2018-06-06
DNA___Software_Defined_Access,NULL,3KAGG,95506097,Preventive case for SDA migration,sda_new_case_1,3,684788842,SDA,EMEA,DNA_Software_Defined_Access,Appliance_sd_access,UNITED_NATIONS_OFFICE_GENEVA,5b43116bd6c6d3001a8b96a0,2018-07-09T07:40:27.534Z,2018-07-09
